Time,x0(t),x1(t)
9.62,0.01367,0.13245
9.64,0.01367,0.1322
9.66,0.01367,0.13196
9.68,0.01367,0.13196
9.7,0.01367,0.13196
9.72,0.01367,0.13196
9.74,0.01367,0.13171
9.76,0.01367,0.13171
9.78,0.01367,0.13171
9.8,0.01367,0.13171
9.82,0.01367,0.13171
9.84,0.01367,0.13171
9.86,0.01367,0.13147
9.88,0.01367,0.13123
9.9,0.01367,0.13123
9.92,0.01367,0.13098
9.94,0.01367,0.13098
9.96,0.01367,0.13098
9.98,0.01343,0.13074
10.0,0.01343,0.13074
10.02,0.01343,0.13074
10.04,0.01343,0.13074
10.06,0.01343,0.13074
10.08,0.01343,0.13074
10.1,0.01318,0.13074
10.12,0.01318,0.13074
10.14,0.01318,0.13049
10.16,0.01318,0.13049
10.18,0.01318,0.13025
10.2,0.01318,0.13
10.22,0.01318,0.13
10.24,0.01318,0.13
10.26,0.01318,0.13
10.28,0.01318,0.13
10.3,0.01318,0.12976
10.32,0.01318,0.12927
10.34,0.01318,0.12927
10.36,0.01318,0.12878
10.38,0.01318,0.12878
10.4,0.01318,0.12878
10.42,0.01318,0.12878
10.44,0.01318,0.12878
10.46,0.01318,0.12878
10.48,0.01318,0.12854
10.5,0.01318,0.12854
10.52,0.01318,0.12854
10.54,0.01318,0.12854
10.56,0.01318,0.12854
10.58,0.01294,0.12854
10.6,0.01294,0.12854
10.62,0.0127,0.12854
10.64,0.0127,0.12854
10.66,0.0127,0.12854
10.68,0.01245,0.1283
10.7,0.01245,0.1283
10.72,0.01245,0.1283
10.74,0.01245,0.12805
10.76,0.01245,0.12805
10.78,0.01245,0.12781
10.8,0.01245,0.12756
10.82,0.01245,0.12732
10.84,0.01245,0.12732
10.86,0.01245,0.12732
10.88,0.01245,0.12732
10.9,0.01245,0.12708
10.92,0.01245,0.12708
10.94,0.01245,0.12708
10.96,0.01245,0.12683
10.98,0.01245,0.12634
11.0,0.01245,0.12634
11.02,0.01245,0.12634
11.04,0.01221,0.1261
11.06,0.01221,0.12585
11.08,0.01221,0.1261
11.1,0.01221,0.12585
11.12,0.01221,0.12585
11.14,0.01221,0.12585
11.16,0.01221,0.12585
11.18,0.01196,0.12585
11.2,0.01196,0.12585
11.22,0.01196,0.12585
11.24,0.01196,0.12585
11.26,0.01196,0.12585
11.28,0.01196,0.12537
11.3,0.01172,0.12537
11.32,0.01172,0.12537
11.34,0.01172,0.12537
11.36,0.01172,0.12537
11.38,0.01172,0.12537
11.4,0.01172,0.12512
11.42,0.01172,0.12512
11.44,0.01147,0.12488
11.46,0.01147,0.12463
11.48,0.01147,0.12439
11.5,0.01147,0.12415
11.52,0.01147,0.12415
11.54,0.01123,0.1239
11.56,0.01123,0.1239
11.58,0.01123,0.1239
11.6,0.01123,0.1239
11.62,0.01123,0.1239
11.64,0.01123,0.1239
11.66,0.01123,0.1239
11.68,0.01099,0.12366
11.7,0.01099,0.12366
11.72,0.01099,0.12341
11.74,0.01099,0.12341
11.76,0.01099,0.12341
11.78,0.01099,0.12341
11.8,0.01099,0.12341
11.82,0.01099,0.12341
11.84,0.01099,0.12341
11.86,0.01099,0.12341
11.88,0.01074,0.12341
11.9,0.01074,0.12341
11.92,0.01074,0.12317
11.94,0.0105,0.12317
11.96,0.0105,0.12317
11.98,0.01025,0.12317
12.0,0.01025,0.12317
12.02,0.01001,0.12317
12.04,0.01001,0.12292
12.06,0.00977,0.12292
12.08,0.00977,0.12268
12.1,0.00977,0.12244
12.12,0.00977,0.12244
12.14,0.00977,0.12244
12.16,0.00977,0.12244
12.18,0.00977,0.12244
12.2,0.00977,0.12219
12.22,0.00977,0.12219
12.24,0.00977,0.12219
12.26,0.00977,0.12219
12.28,0.00977,0.12219
12.3,0.00977,0.12219
12.32,0.00977,0.12219
12.34,0.00977,0.1217
12.36,0.00977,0.1217
12.38,0.00952,0.1217
12.4,0.00952,0.1217
12.42,0.00952,0.1217
12.44,0.00952,0.1217
12.46,0.00952,0.1217
12.48,0.00952,0.1217
12.5,0.00952,0.12146
12.52,0.00952,0.12146
12.54,0.00952,0.12122
12.56,0.00952,0.12097
12.58,0.00952,0.12097
12.6,0.00952,0.12097
